岗位名称,公司名称,最低工资,最高工资,工作地点,学位要求,工作日,截止日期,岗位描述
新媒体运营实习生,世方志文化,50,100,广州,不限,3,2021/11/13,"#MORESAN新媒体运营岗实习生培养计划#


	【岗位内容】


	1.运营管理企业在各大平台的官方账号，完成基本设置及维护&semi;
2.根据不同的平台，不同的目标群体制定差异化运营方案，策划并制作相应的平台内容&semi;
3.通过官方账号发布品牌内容并回复评论私信等&semi;
4.通过线上平台收集品牌所需的资讯，并与其他的账号主体进行互动沟通&semi;


	【任职要求】


	1.真诚、热情、拥抱变化、永远乐观和创新&semi;
2.既能脑洞大开、天马行空，还能落地执行、效果突出&semi;
3.有自媒体运营经验优先&semi;


	4.有策划、创意能力


	5.至少实习4个月以上，每周3天以上&semi;





	【实习福利】
1.专业的新媒体运营知识培训&semi;
2.多平台、矩阵化媒体策划运营能力&semi;
3.社会化媒体营销能力培训与实操&semi;
4.实习计划补助、办公室零食等福利&semi;"
新媒体运营实习生,菠萝斑马,100,120,上海,本科,5,2022/3/2,"岗位职责：
1、负责移动互联网自媒体平台（小红书为主）的日常运营及推广工作；
2、进行新媒体平台，特别是小红书投放，能够根据产品的卖点选择出不同号，并跟进整个投放流程&semi;
3、根据数据对媒介推广进行把控及调整，对投放结果负责，能够对投放的效果进行总结分析，形成数据分析报告并持续改进&semi;
4、根据业务需求，负责媒体、KOL、UP主关系的建立、维护和拓展，与渠道媒体保持有效沟通，快速有效完成投放任务&semi;
5、协助制定媒介排期，素材需求确认及跟进；
6、根据业务需求不断开拓投放渠道并建立长期稳定的合作关系。
任职要求：
1、新闻学、传播学、广告学、市场营销或相关专业，全日制本科及以上学历；
2、了解B站和小红书投放市场情况，能够迅速了解产品特性，为产品匹配有效公众号资源；
3、思路清晰，对数据变化敏捷度高，可以通过数据分析进行投放优化，有效提升投放效果；
4、有较强的文字功底，语言表现力强，文笔流畅，熟悉各种传播形式所需的文案特点；
5、具备较强沟通协调能力，认真靠谱，能承受快节奏工作。"
新媒体运营实习生,HFP Homefacialpro,120,150,广州,本科,3,2021/5/12,"岗位职责：
1、负责微信推广页面的落地页日常运维，包括商品编辑上下架及落地页面优化
2、完成广告上线后的数据跟踪及分析，优化促销机制及落地页，提高销售转化率
3、完成交办的其他事项
岗位要求：
优先考虑大三大四，一周最少到岗3天，并能长期实习
逻辑清晰，抗压能力强"
编导实习生,智趣广告,100,150,上海,大专,5,2021/4/27,"岗位职责：

	1、负责15-60秒短视频的脚本撰写、内容策划、视频拍摄、后期剪辑等工作；


	2、负责各个产品需求的特性及功能与短视频平台（如抖音、快手、西瓜、微视）用户做结合，高效产出视频进行宣传策划。





	任职要求：


	1、大专及以上学历，编导专业优先；


	2、短视频平台重度用户，喜欢拍视频，爱自己做主角者优先；


	3、爱拍、爱玩、有创意，创作过有传播量的作品者优先；


	4、会剪辑，能入镜做主角；


	5、有洞察力，每日追踪抖音热门视频并捕捉其亮点，具备额模仿及创意改编能力；"
留学新媒体运营实习生,沃尔德留学,100,150,深圳,本科,2,2021/4/20,"【工作职责】
1.负责企业公众号的运营，海外院校的撰写、排版、发布&semi;
2.海内外学生的专访，编辑文章；
3.协助留学活动的策划执行以及公司安排的其他事宜。
【工作要求】
1，有相关新媒体运营经验，熟练相关办公软件；
2，英文听说读写良好，有留学经验或即将留学优先考虑&semi;
3，个人形象良好，有线上线下主持经验优先考虑；"
新媒体运营,不懂网络,100,180,上海,不限,4,2021/4/23,"工作内容: 
1、根据公司总体市场战略及网站特点，配合执行网站推广目标和推广方案&semi; 
2、日常维护公开社交媒体、社区论坛，发布图文、视频等信息内容，包括不3、限于知乎、百家号、脉脉、贴吧等；  
5、完成上级交给的其它事务性工作。 

任职要求: 
1、大专及以上学历，市场营销、广告传播、新闻编导等专业优先，有相关工作经验优先； 
2、热爱并喜欢新媒体运营，有同等相关工作经验优先； 
3、有不错的商业sense，数据导向，市场洞察力，营销策划能力； 
4、熟练使用Excel、PPT办公软件 
加分项： 
1、自运营微博、公众号、抖音、视频号等新媒体 
2、会摄影及视频剪辑

你将获得：
1. 实习带教由腾讯、百度、苏宁等公司背景专业导师
2. 工作地址位于上海市黄金地段，离地铁200米
3. 不定期专业知识培训
4. 扁平化管理，有转正机会
5. 有竞争力的实习薪资"
新媒体实习,美扑集团,100,200,广州,本科,2,2021/6/1,"该岗位是远程实习岗位，学生可自由在学校在家完成实习任务，公司提供实习津贴（以业绩提成的形式发放）。实习期为1-3个月，实习结束公司都会开具盖公章的实习证明纸质版免费邮寄，实习工作支持学校和求职公司的电话回访调查，丰富的实习经历有助于学生找好工作和完成学校的实习要求。

工作内容：
1、负责小红书、知乎、豆瓣等内容平台发帖，公司提供文案素材，实习生需要自行润色，尽最大文采去获取公域流量。
2、公司会提供产品包装，实习生负责前期选题、日常运营，内容运营，及有效分发，对优秀者给予项目团队奖励。
3、每周只需要按量按质发布三篇内容稿，不会耽误学生的学习和生活。

任职要求：
1.网感强，喜欢美妆、护肤、变美、种草等内容创作及编辑；
2.抖音、小红书、B站等视频app的重度患者优先；
4.对互联网新型营销、种草内容创作感兴趣；
5.脑洞大，兴趣广泛，学习能力强，喜欢尝试新鲜事物，抗压能力强；
6.在校大学生，大一到大四，应届生、无经验者皆可，只要对该互联网新媒体行业有深刻的兴趣和热情，公司都欢迎。

我们的优势：
1.团队创意好玩，让大家学到互联网营销的头脑风暴的方法，除了专业技能，还能获得行业资讯~
2.项目负责人拥有资深互联网运营经验，在用户增长、医疗美容、新媒体运营均有涉猎，给大家专业的培训
3.团队年轻、扁平化管理、网红打卡式园区办公，日常结伴开黑任你行！！"
新媒体运营实习生,Smart,150,250,上海,不限,5,2022/1/1,"工作职责:
1.针对客户需求的新媒体内容的周期性规划和报告。
2.日常的微信、微博公众号文案撰写。
3.日常公众号内容的排版、设计和组织。
4.为线上媒体所需的其它文字、设计内容提供创意。
5.公众号、微博等线上媒体所需的平面设计等内容。

任职要求:
1.具备可以沟通的英语或西语能力。
2.对排版、平面设计有一定的经验和相关案例。
3.不错的归纳和整合能力，具备一定的创意性想法。
4.有微信运营的实际操作经验，知道如何利用排版工具
(如秀米等）对微信公众号进行排版。
5.良好的沟通能力和学习能力，工作上手快。

6.有良好平面设计技术或视频剪辑技能者优先考虑。


7.实习期间工作出色可提供转正。"
新媒体运营实习生,同橙网,100,150,南京,本科,5,2021/6/30,"岗位职责：
1、负责研究院及下属公司的微信账号日常内容撰写，策划、发布、更新、维护和管理；
2、完成项目中各类活动所需策划、拍摄和剪辑工作；
3、协助完成项目中各类宣传文案的撰写；
4、其他需要完成的宣传工作。
任职要求：


1、本科以上学历，新闻学、传播学或媒体相关专业有限考虑


2、对媒体宣传有浓厚兴趣，会熟练使用PS、PR（或AE），会用摄影器材拍摄照片和视频；


3、的文字表达、策划、撰写和执行能力，熟练掌握办公软件、平面设计软件、互联网搜索和新媒体应用等技术；


4、思路开阔，善于学习接受新事物、新思路，积极性主动性强。"
新媒体运营专员,拟态研究院,100,150,南京,本科,5,2021/6/30,"岗位职责：
1、负责研究院及下属公司的微信账号日常内容撰写，策划、发布、更新、维护和管理；
2、完成项目中各类活动所需策划、拍摄和剪辑工作；
3、协助完成项目中各类宣传文案的撰写；
4、其他需要完成的宣传工作。
任职要求：

1、本科以上学历，新闻学、传播学或媒体相关专业有限考虑


2、对媒体宣传有浓厚兴趣，会熟练使用PS、PR（或AE），会用摄影器材拍摄照片和视频；


3、的文字表达、策划、撰写和执行能力，熟练掌握办公软件、平面设计软件、互联网搜索和新媒体应用等技术；


4、思路开阔，善于学习接受新事物、新思路，积极性主动性强。










实习结束后可以提供实习证明，并盖研究院的章。"
新媒体运营实习生,Finance100,100,150,深圳,本科,5,2021/4/29,"【岗位职责】




			1、公司新媒体平台搭建、运营、维护等工作；
		

			2、协助进行市场调研和数据分析，为市场和内容运营提供可行性建议；
		

			3、配合营销目标，针对不同的用户偏好与渠道特征进行推广，并进行线上及线下内容传播，关注推广效果；
		

			4、打造热点、事件、活动、联合营销等项目，统筹项目策划与实施，增加产品曝光度与好感度，提升用户粘性；
		

			5、分析行业竞品、研究社交媒体新玩法、新形式、热点案例，并输出相应分析报告。
		





【任职要求】






			1、本科或以上学历，市场营销、传媒或新闻专业优先，大三、大四优先；
		

			3、有良好的营销创意功底，对热点有洞察能力，逻辑性强逻，有内容独立策划与推广能力，且有较强的文字功底；
		

			4、对社交媒体有独到见解，了解社交媒体趋势及用户习惯，有一套提升用户活跃度的方法； 
		

			5、乐于接受新事物，学习能力强，抗压能力强，具有极强的行动力！"
新媒体运营实习生,圣霓兰,80,100,郑州,不限,5,2021/4/30,"岗位职责：


	1. 负责公司自媒体平台的日常运营及维护工作；


	2. 了解熟悉所有新媒体投放形式；


	3. 挖掘和分析用户使用习惯、情感与体验感受，及时掌握新闻热点，完成专题策划、编辑制作，提升用户活跃度，提高关注度；


	4. 负责公司各类活动的文案、主题策划及落地执行；


	5. 能独立与各类媒体、广告公司、咨询公司外部渠道洽谈合作并策划举办相关活动。


	 


	岗位要求：


	1. 中文、广告学、汉语言文学、新闻学、市场营销学专业优先，有优秀作品集者优先；


	2. 熟悉化妆品行业、新零售运营方式和各类社交平台玩法，有实际成功操作经验者优先；


	3. 逻辑清晰，能提出有趣有意义的专题思路；执行力强，可以随时随地打开脑洞，并最终能成形落实；


	4. 热爱时尚，具备敏锐的市场洞察力，良好的分析总结能力，有扎实的文字功底及较强的创新思维，能够透彻理解客户、市场、消费者的需求；


	5. 工作责任心强，具有良好的理解、沟通能力，有团队合作精神。






实习福利：
1.业内大咖手把手带队，成长迅速；
2.无打杂纯干货实习，参与到新媒体运营团队的方方面面；
3.有内购机会和不定期公司产品免费使用福利；
4.获得由公司承办的各大型活动的实践经历；
5.咖啡茶饮小零食全天无限量供应；
6.地处郑州地标大玉米楼，办公环境轻松有格调。

备注:投简历时请附上相关作品，谢谢！"
新媒体运营实习生,触电传媒,0,50,广州,本科,4,2021/5/14,"岗位职责：
1、抖音快手等平台新闻资讯类短视频内容生产；
2、参与视频选题、内容创意策划；
3、配合部门其他工作。
 
任职要求：
1、本科及以上学历，新闻、影视摄影与制作等相关专业；每周至少实习三天以上，大三、大四实习时间充裕者优先；
2、抖音、快手、b站深度用户，有网感、脑洞大；
3、熟练掌握PR、AE、剪映等视频后期剪辑软件；
4、性格开朗，沟通能力强，有责任感。"
