岗位名称,公司名称,最低工资,最高工资,工作地点,学位要求,工作日,截止日期,岗位描述
实习/短视频助理专员,大音音像,0,50,广州,不限,5,2021/5/31,"工作职责：


	1. 了解抖音、快手等短视频运营，从账号定位、内容制作到作品发布，粉丝互动等；


	2. 完成分镜设计，负责短视频后期制作、脚本撰写、后期出品；


	3. 研究抖音、快手等短视频平台热点、玩法、新功能，分析平台规则和推荐机制；


	4. 能够撰写各种段子，热评、神评等文案


	5. 协助其他项目的视频剪辑





	岗位要求：


	1. 短视频、社交等APP重度用户，喜欢刷抖音、刷微信、刷微博、刷知乎、逛B站，有良好的的网感；


	2. 擅长操作pr，手机剪辑app；


	3. 脑洞大，能够制造话题；


	4. 编导、传媒、广播电视、新闻等相关专业优先。


	5. 工作时间：周一至周五9：00~17:30。


	6. 实习期不低于4个月，周一至五到岗。"
运营实习生,税友集团,180,200,杭州,本科,4,2021/4/30,"岗位职责：
1、了解产品用户定位，集合用户喜好，编写相关产品的介绍文档及宣传文案；      

	2、通过各种运营手段进行产品推广、提升用户使用率、活跃率、购买率等；


	3、协助市场和产品运营相关工作；


	4、通过数据分析不断优化运营策略和产品，完成既定的产品推广、运营指标。


任职要求：
1、市场营销、电子商务、财税、会计相关专业，本科及以上学历；
2、思路清晰、创意性思维活跃、文笔功底优秀；
3、学习能力强，善于团队合作，工作有激情，主动性强；
4、有过新媒体运营工作经验优先考虑。 ；


5、2022届毕业生，一周可实习4天，持续实习3个月以上。"
新媒体运营实习生,学而思网校,150,200,北京,本科,5,2021/5/12,"工作职责：
1、负责视频账号的日常运营，制定短视频内容运营工作
2、擅长视频的拍摄和后期工作
3、擅长短视频内容的策划、脚本撰写
4、擅长品牌账号运营，熟悉视频的运营思路和策略
5、脑洞大，喜欢创意，熟知B站的平台文化和调性

任职资格：
1、本科/硕士在校生，编导、新闻、影视、广告等相关专业优先
2、有短视频平台运营经验者优先
3、可长期实习（3个月以上加分）
4、每周实习4天以上者加分
5、责任心强，能自我驱动

你将收获：
1、实战经验增长：业务发展迅速，有充分的空间供你独立发挥，实现你的想法，这段经历将成为你简历内容丰富的一部分
2、内容指导：多场新媒体内容分享会可学习超前的传媒经验，深入了解商业传播；mentor一对一辅导
3、免费晚餐+团建，福利多多
4、有转正机会"
视频实习生,立白电商,80,100,广州,本科,5,2021/4/30,"（此岗位属于立白集团立白电商全资子公司）


	岗位职责：
1、协助拍摄器材、灯光设备、场景、道具、产品等布置，场记，片场场务常规工作；
2、协助撰写产品文案创意脚本；
3、协助基础性剪辑工作，对接拍摄素材归档、整理拷贝备份；
4、跟进合同、付款等流程性事务。




	任职要求：
1、懂视频拍摄或剪辑，影视相关专业优先；
2、混迹于抖音、快手、油管、B站等短视频平台，懂视频行业，有一定的文案写作功底，段子手优先；



3、好学自驱！做事积极主动。





	PS：2022届，能够全职的优先。"
新媒体编辑实习生,逸仙电商,100,120,广州,本科,5,2021/4/30,"新媒体编辑实习生
岗位职责：
1、负责内容社区-内容运营专业美妆护肤等内容产出；
2、参与选题决策，编排选题计划，提出个人选题创意和想法；
3、负责内容社区内容审核把关；
4、上级交办的其他工作；

任职要求：
1、有新媒体编辑经验，内容能力优秀，具备文字功底，善于挖掘热点、好物，了解时尚美妆护肤行业；
2、熟悉自媒体定位、选题、编辑、审核、排版等流程懂公众号运营&玩法，有公众号编辑经验优先；
3、有美妆、护肤、时尚穿搭、生活方式或情感类内容工作经验优先；
4、工作积极有冲劲，抗压能力强，良好的执行能力、学习能力；
PS：投递时请附上相关稿件作品。"
短视频剪辑实习生,猫眼娱乐,120,120,北京,不限,5,2021/5/3,"职位描述：
 协助猫眼电影的日常运营，包括视频剪辑、发布及其他日常运营工作。

职位要求：
1、喜欢电影，了解热门电影，传媒相关专业优先。
2、协助电影宣传，从不同角度二创预告片。
3、具备一定的视频剪辑能力，熟悉fcp、pr等软件。
4、网感好，段子手，熟悉抖音流行音乐和剪辑方式。
5、责任心强、做事细心。


（ps:简历可附相关作品）






工作地点：北京
工作福利：有爱的团队，以及和电影一线大咖面对面接触的机会哦～"
新媒体运营管培生,赋能职咖会,100,200,上海,大专,3,2021/4/30,"岗位职责：


	1、负责短视频、社群、新媒体等方面的运维工作，对用户互动、留存及增长裂变负责；


	2、负责公众号日常内容编辑、更新和维护，熟练使用微信公众平台排版工具，审美好；


	3、熟悉各类办公软件应用（word，excel，PPT），高效进行资料的搜集、整理和编排工作。


	4、熟悉新媒体产品运营模式：短视频，抖音，最好有自己的视频剪辑作品；


	5、擅长视频拍摄，图片拍摄，会简单的视频剪辑；


	6、线上线下活动执行，包括场地预定、沟通协调，客户报名、接待，现场协调与执行；


	7、公司安排的其他助理工作。


	职位要求：


	1.审美在线，学习能力强，适应性好，细心谨慎；


	2.高校在读同学优先，有充裕的时间进行实习和自我提升；


	3.头脑灵活、乐于接受新事物，具备良好的团队协作精神；


	4.不甩锅只解决问题，有责任心&semi;


	5.有短视频平台策划经验和实操经验优先考虑；


	6.每周至少保证工作三天，实习期至少3个月。可以随简历附上自己相关的运营经验分享（例如拍摄的照片、剪辑的短视频、社群运维的经验，活动策划案等）


	7.仅向在上海就读的同学开放，本科生优先


	你将收获：


	1.提供专业知识技能培训


	2.游学和企业参访


	3.行业大咖等资深职场人人脉


	4.可开实习证明"
电竞运营助理实习生,明基BenQ,100,150,苏州,本科,4,2021/4/26,"岗位职责： 


1. 协助业务相关的资材管理；


2. 定期统计分析营销数据，协助业务运营及改善； 


3. 协助业务推广及活动策划。 


 


岗位要求： 


1、本科及以上学历，专业不限；


2、具备良好的沟通协调能力和数据分析能力 


3、工作热情主动，责任心强，思维活跃，较强的团队合作能力和表达能力 


4、每周至少 4 天，持续 3 个月以上"
游戏视频设计实习,百奥,150,200,广州,不限,5,2021/5/4,"岗位职责：
1、负责公司的买量视频广告制作，协助需求部门完成视频素材创意，视频广告更新；
2、收集各渠道游戏广告视频素材，沟通视频创意方向，不断优化视频品质，提高视频投放效果；

	3、日常需负责抖音快手等渠道短视频出镜拍摄。 





	岗位要求：


	1、美术、设计、动画相关专业优先；

2、熟悉PS、AE、PR等视频设计相关软件；
3、喜欢看抖音，脑洞大，对创意游戏广告有专研进取的态度；
4、良好的美术基础，对视频的镜头、节奏、色彩、配乐和构图有很好的把握，能独立完成15-30秒的视频广告制作；
5、创意思维活跃，沟通能力良好，并具备较强的责任感；
6、喜欢游戏，希望在游戏行业发展者优先，会视频制作优先。
7、简历请附上个人作品。"
视频后期助理,花拾间,80,120,广州,不限,6,2021/5/31,"工作方向：纪录片、节目、广告、短视频
工作职责
1、参与视频的策划工作，确定拍摄方案、创意等。
2、负责各类视频的前后期工作，包括拍摄以及根据脚本和前期人员的需求对素材进行制作、剪辑、音效等后期处理工作；
3、素材的收集和归档等工作。

岗位要求：
1、熟悉影视制作的相关流程，对视频拍摄和制作有浓厚的兴趣。
2、掌握各类图像视频音频剪辑处理软件，能独立完成剪辑工作。
3、有较强学习能力、审美能力，具备良好的团队协作精神和清晰的表达能力，善于沟通、有责任心，抗压能力强。
4、倾向选择能长期实习的同学，可在简历注明可实习时间和时长，表现优秀者可转正。
注：投简历时务必注明可实习时间并附上作品链接，或将作品发送至邮箱,此处不能放邮箱链接可直接私信获取。"
新媒体运营,唐代传媒,100,150,上海,本科,5,2021/5/3,任职要求： 1、新闻媒体、中文或时尚相关专业，具备媒体相关实习或工作经验尤佳；  2、思维发散，脑洞大开，愿意提出各种新想法、尝试各种新思路； 3、良好的沟通表达能力、团队意识、创意能力； 4、热爱时尚行业，熟悉时尚圈和移动互联网的事件与背景优先； 5、具备时尚流行敏感性和判断力，擅长挖掘题材，组织话题，对时下热点与即将发生的热点事件有预知性和临场适应性； 6、工作细致耐心，责任心强，具有强烈的团队合作精神； 7、熟悉微信公众号、小红书、微博等内容宣发，了解并灵活运用第三方排版软件。  岗位要求： 1.本科及以上学历 2.能洞察用户心理诉求，善用文字激发用户需求增加用户阅读和转发 3.具有扎实的文字功底及文字表达能力 4.熟悉各大社交媒体的应用，善于挖掘整合媒介资源 5.1年及以上互联网新媒体运营经验岗位职责 6.新媒体端原创文案撰写 7.公司各类文案撰写 8.推广宣传软文写作 9.领导交办的其他事务
新媒体运营实习生,MINUTESCHINA,120,120,上海,本科,5,2021/4/25,"岗位职责：
1、参与品牌双微内容规划和撰写，包含每月内容规划、文章框架、推文撰写及排版、设计风格建议、互动形式建议；
2、参与新品上市文案工作，包含产品命名、主要标题、标准文案、新闻稿件、社会化媒体内容等；
3、参与创作不同营销形式的内容需求，梳理完整的文字档案：包括渠道物料、活动页面、用户界面、广告素材、道具文案等；
4、参与项目讨论会议，准确了解品牌定位及风格，根据需求提供文案建议及创意思路；
5、整理客户产品、品牌、行业资料及案例，并汇整报告协助项目； 协助团队沟通和对接部分策划需求或短期项目。

任职要求： 
1、广告、新闻、中文相关专业有限，本科学历及以上；
2、有良好的逻辑思维及沟通能力； 
3、热爱且了解互联网，熟悉了解网络媒体； 
4、熟练使用Word、Excel、PPT等办公软件； 
5、大四优先，每周5个工作日的实习时间优先。"
新媒体运营实习生,万物心选,200,250,北京,本科,5,2021/5/20,"这个岗位所要从事的项目，是一个结合时下流行的【可持续时尚】理念、从无到有创造全新玩法的闲置交易APP。它的主流人群是20-30岁的时髦小姐姐。
理性来说：闲置交易即遵守经济学规律，又能灵活地解决每一种定制化需求。
感性来说：闲置商品除了商品本身的价值之外，还包含了原主人挑选它时的经验与情感，闲置交易让这份珍贵的经验和情感变得可持续。
在这个项目里，你可以持续积累前沿的时尚资讯，享受带领用户玩转可持续时尚生活方式的成就感，如果你对创造一个全新玩法的时尚交易平台有兴趣，并希望为自己积累从0到1的项目经验，欢迎加入我们！

我们的产品：

APP--预计5月上线

【岗位描述】
1、对服饰搭配、潮流玩具、野餐露营、美妆护肤、明星idol等新鲜时尚资讯有丰富的认知和研究。
2、负责自媒体运营工作，主要是微博、小红书。
3、组织线上市集，输出时尚、环保等潮流内容和活动创意，在自媒体上带着时髦小姐姐一起互动一起玩。
4、定期分析数据，有针对性的提升粉丝粘性、粉丝数及留存率。
5、定期参与整个项目的发展、活动以及市场推广等全案工作的策划。

【岗位要求】
1、21/22年本科及以上学历在读，熟悉小红书、微博的运营规则。
2、有很强的同理心和执行力，能独立思考，能做到有想法、多实践。
3、擅长输出90后、95后喜爱的语言文字，在视觉上有极佳的审美。
4、有0-1新媒体运营经验优先，最好是时尚、艺术、娱乐、社交方向。

【公司福利】
以创造为目标的项目，以员工迭代能力作为核心考核标准的成长机制。
在这里你不会做螺丝钉：小团队运作会让你接触到一个互联网产品正规、全面的运营方法论。
扁平公司结构让你能接触到公司各个领域的大牛。

·直属导师：毕业于清华大学，1年NOKIA、3年百度大搜索、3年美丽说、棒棒糖创始员工，社区产品和运营总负责人
·老板：CEO毕业于北京大学，实习期间在百度升任经理，百度产品总监，早期百度贴吧、百度知道总负责人。COO阿里母婴女装负责人。CTO百度700人团队总负责人。
·运营同事：英国传媒管理归国硕士；广告公司总监兼棒棒糖用户。
·研发同事：百度T9架构师。
·公司实力：创业于2015年底，在资本寒冬拿到融资，目前C轮，目前公司200人+。核心团队离职率0。立足新生代女性需求，提供社区和电商服务。"
公众号/微信群运营实习生,飞屿信息科技,150,300,广州,大专,5,2021/4/30,"本次招聘属于飞屿信息科技（广州）有限公司


	旗下AI智行未来工作室的新媒体项目


	所招聘的公众号/微信群运营实习生





	       工作时间: 周一到周五，双休，9:00--12:30，14:00--18:30。





	       工作地点（项目组办公点）:广州市番禺区钟村街道祈福缤纷汇星巴克（地铁3号线汉溪长隆D出口转10B公交车约10分钟直达祈福新村总站即到）。





	祈福缤纷汇为网红打卡点


边喝咖啡边工作，氛围轻松


	住附近的实习生可优先考虑。





工作内容：


1.公众号更新：负责公众号的日常运营和维护工作，包括日常内容选题、文章撰写、排版、发布、粉丝互动及效果跟进等工作。


2.活动策划：日常的文案撰写，制定用户运营活动方案，拟定策划主题并挖掘卖点。


3.用户管理：以微信群为核心，分析用户数据，处理群内事件、用户意见反馈。


4.用户留存：通过开展活动增加曝光度，提升用户粘度，保证现有群用户留存，并规划活动实现群用户增长。


5.用户分层：协助对现有用户进行分层，制定和落实不同层级用户维护策略和活动方案。


6.用户转化：与用户互动和保持密切的沟通，挖掘高意向用户，不断发现问题并改善，提升用户活跃度和消费频次，打造高粘性、高活跃度社群，提升用户忠诚度和品牌形象，实现微信群用户到线上购买的转化。


7.上级交代的其他工作。





工作要求:


1、（必备条件）每日能独立完成公众号推文的撰写、排版（0经验不招），熟练使用秀米、135、美图、ps等推文编辑常用工具；


2、（必备条件）需自备笔记本电脑；


	3、（加分项）独立负责过1万粉丝以上公众号运营、社群运营经验的优先；


	4、（加分项）熟悉教育行业网络推广方法优先；


	5、（加分项）有成功的案例或作品优先（公众号具有较大影响力或所发文章点击率、转发率较高）；


	6、（加分项）有销售或市场推广经验优先。





实习补贴:餐费补贴50元+交通补贴20元+星巴克咖啡补贴60元（上午30元+下午30元）+高温补贴20元=150元/日。


	另根据每月销售情况发放绩效奖金：5K到30K。




应聘要求:针对公司产品写一篇推文。"
新媒体运营助理,焦点领动,100,200,南京,本科,5,2021/4/30,"岗位职责：


	1.负责微信公众号的日常运营


	2.协助组织策划市场活动


	3.负责网站维护


	4.负责宣传资料的设计、制作等


	5.完成上级交代的其他事项


	任职资格


	1、有文字功底；


	2、对新媒体感兴趣；


	3、22届优先。"
财经内容运营实习生,富途网络,200,300,深圳,本科,5,2021/12/16,"岗位职责：
1.港股、美股新闻的挖掘与编辑，包括且不限于大市跟踪，上市公司新闻，热点专题等；
2.跟踪平台资讯的使用和传播情况，分析用户习惯与偏好，并做出相应的对策；
3.跟踪财经媒体和自媒体，保持对市场热点的敏感度，把握市场舆论风向。
任职要求：
1.全日制本科以上，22～23届学生；
2.对海外股票市场有浓厚的兴趣，好奇心强，讲逻辑，爱研究；
3.善于观察，有敏锐的新闻触觉，反应快速，执行力强；
4.善于数据分析，能长期实习者优先考虑。
你将获得什么：
1、实习报酬+住宿补贴+公司提供公寓式住宿+无线供应下午茶+各种补贴；
2、腾讯系互联网券商龙头企业实习背书，为未来校招铺路；
3、优秀大咖导师指导火箭式成长；
4、了解互联网券商业务模式，深入学习金融相关专业知识，就业理财双丰收。"
视频实习生,仁星数位时代,100,120,广州,大专,3,2021/5/31,"职位信息


	1.负责对公司短视频剪辑处理，对短视频进行美化和包装；


	2.喜欢视频，了解当下热点视频的剪辑手法；


	3.按时完成上级和客户的剪辑要求，及时对视频内容进行归类整理。








	任职要求：


	 1.大专以上学历，性别不限，学习能力强，；


	 2.对短视频、直播有一定的了解，熟悉抖音、b站等视频网站；


	 3.有一定的剪辑基础，精通使用PR、AE等至少一款视频编辑软件，熟练使用PS优先；


	4.大三、大四接近毕业优先，长期工作优先。"
社群运营,超级简历WonderCV,100,150,北京,不限,5,2021-04-2,"【你将负责】
（1）参与公司战略级新项目启动，负责社群活动策划和管理
（2）日常工作包括整理并选择福利，制定游戏规则，进行用户预期管理与激励
（3）全面参与选题策划、数据分析等增长流程

【我们希望你】
（1）有微信群，QQ群，游戏公会等在线群体管理经验者优先
（2）有良好的沟通能力，善于聊天
（3）乐于尝试新事物，好奇心强，希望拥有从0到1的经验

【你将获得】
（1）增长大牛手把手带教你如何一步步完成社群裂变增长
（2）与来自高盛、普华永道、优酷等大牛团队一起工作
（3）时间获得名企资讯和一手经验，知乎大V带你撰写职场干货
（4）每周分享会教你各种硬技能，每月提供超级简历学习基金助你成长
（5）100-200元／天的实习津贴＋实习证明
（6）实习生有转正机会，还有机会获得名企大厂推荐信
（7）后，工作环境极佳，10点上班，还有免费下午茶~"
剪辑实习生,CHOPSTICKS,100,150,上海,本科,5,2021/11/4,"岗位职责：


	主要剪辑内容为KOL明星艺人等Vlog/广告/短片 





	任职要求：


	审美好，看过较多艺术类和玩镜头感的电影（小时代不算）、剪辑风格不要太婚庆也不要太「亚」太不知所云；


	技术好，基本功要过硬，我司剪辑工具主要以Premiere Pro为主（需精通），Final Cut Pro为辅（可以简单了解）；


	脸皮厚，需要较强的抗压能力和学习能力，准备好随时被教育和“羞辱”的准备，对行业前沿的咨询有一定了解和关注。





	你将获得：


	和明星博主合作的机会（具体合作名单可参考我司的新片场发布内容）


	和知名业内人士共同合作学习的机会（包括但不限于上海一线导演、调色师等大拿）


	和一群未来的TOP级广告同业提前培养相识微时情谊的机会（朋友多了好办事儿~）





	对美妆时尚奢侈品类广告及创意短视频感兴趣的剪辑师，有意面谈，欢迎加入CHOPSTICKS！"
新媒体广告销售,麦果传媒,80,150,武汉,大专,5,2021/5/31,"岗位职责


1、利用电话及网络平台进行公司的新媒体业务销售及推广；

2、通过电销+网销+面销的方式销售公司业务；
3、充分了解客户需求，分析客户需求，为客户提供准确信息及咨询服务；
4、维护老客户的业务，挖掘客户的最大潜力；

5、定期与合作客户进行沟通，建立良好的长期合作关系。


任职要求


1、大专及以上学历，年龄18-28岁，条件优秀的可放宽要求&semi;
2、口齿清楚，谈吐稳重，具有良好的沟通能力以及普通话标准&semi;
3、有新媒体、销售经验者优先考虑；
4、具备良好的规划能力，执行力强，学习能力强并且勤奋；
5、热爱销售工作，认真负责，吃苦耐劳，对工作有激情"
新媒体运营实习生,美的集团,120,150,佛山,本科,5,2021/5/20,"工作职责：


	• 负责运营布谷官方微博、微信公众号日常运营

• 负责新品产品上市前文案策划及画面延展修改

	• 负责B站、小红书运营，能及时跟上热点


	岗位要求：


	1、在读本科或者研究生，中文、市场营销等相关专业；


	2、熟悉自媒体平台运营，对热点事件保持非常好的网感，喜欢拍照，刷抖音，快手，小红书，知乎等社交软件；


	3、能尽快入职，每周实习5天；


	4、实习地点：佛山市顺德区北滘镇美的全球创新中心"
新媒体运营实习生,中国工业互联网研究院,120,150,北京,硕士,5,2021/4/27,"工作职责：


	1、能够协助运营微信公众号，提供优质、高效的招聘信息等。


	2、负责微信软文、文案的编辑和发布，招聘等相关事宜的推广。


	3、协助负责单位其它平台网站运营，协助招聘组进行招聘工作。


	4、跟踪微信公众号等平台的推广效果，分析数据并反馈。


	5、领导安排的其它相关事宜。


	任职要求：


	1、有较强的信息采集能力、文字编辑能力、图文处理能力。


	2、学习能力强，新闻传播、广告设计等相关专业。


	3、有公众号运营、做图、排版等经验，有想法有创意。


	4、每周到岗至少4天，实习持续三个月以上。"
新媒体运营实习生,小雨伞,120,180,深圳,不限,5,2021-0-31,"工作职责
1.负责小红书账号的日常发布、数据整理；
2.负责小红书文字笔记的封面制作、内容撰写；
3.负责收集小红书的行业热点；
4.协助内容部同事完成其他工作内容。

任职要求
1. 大三大四、研二研三同学优秀在读生，保证至少实习三个月，每周五天（周一到周五），周末双休；
2. 小红书重度用户，对热点事件敏感，有小红书账号运营经验的优先考虑；
3. 有一定的审美能力，能制作出抢眼的封面图，擅长手机制图软件或ps的优先考虑；
4.有一定的文案功底，能够根据制定选题撰写文字笔记；
5. 脑洞大，敢创新，热爱新媒体。"
新媒体运营专员,中团网络科技,80,100,重庆,大专,5,2021-0-31,"岗位职责


	1.负责微信公众号的日常运营和维护工作；


	2.喜欢玩微信、抖音、微博等软件；


	3.完成上级安排的其他工作事项，有团队合作精神；





	任职要求


	1.接收应届毕业生，对经验要求不高，有较强的逻辑思维能力，善于思考，学习


	2.公司定期组织各类专业技能培训，提供长期职业发展的晋升通道；


	3.周末双休，享受国家法定节假日"
新媒体运营实习生,佰米科技,100,150,北京,本科,4,2021/5/5,"技能要求：
旅游内容运营，视频内容运营

岗位职责：
1、负责文旅类头条号文章撰写、排版、数据监控，产出优质的原创文章；
2、对内容阅读数据进行监测与效果评估，提高用户活跃和转化；
3、配合团队成员针对项目提供内容支持。

任职要求：
1、本科及以上学历在校学生，有旅游领域相关经验、可实习3个月以上优先考虑；
2、具备优秀的写作能力，及时掌握热点，对于优质内容具有判断和识别能力；
3、思维逻辑清晰，具有极强的自我学习及驱动力，责任心强，有良好的抗压能力和团队精神。"
新媒体运营实习生,RedFern Digital,150,200,上海,本科,5,2021/5/4,"职位描述：




1.Create and manage both Weibo and WeChat accounts for our clients.（为客户开设、维护、管理微信/微博公众号）


2. Provide written content in Chinese for posts that are pushed out. Have the ability to translate and localize content. Have the ability to design campaigns that can be used to push out content. （按照客户要求定期编辑推送，具有翻译技能和文案功能）


3. Assist with any design requirements that the Market Research department encounter


4. Attend meetings with clients as/when required


5. Respond to queries or enquiries from clients within 24 hours


6. Working closely with and/or networking with external sources, in an accurate and professional manner


7. Through research and networking, stay aware of business and commercial trends in the clients industry so as to advise and guide clients to make informed decisions related to buying and selling within industry.


8. Be capable of independently and professionally working on projects and client needs as part of a team and/or individually as required.（英语口语熟练，能准确的理解客户的需求并能独立和专业地完成工作）


9. Works and acts resourcefully with a ‘can-do’ results orientated attitude to challenges and problem solving


			10. Professionally interacts with customers, senior-level executives, and all other levels of employees"
新媒体推广实习生,AOEO,120,150,广州,不限,5,2021/6/30,"岗位职责：
1、负责公司品牌、产品在小红书、抖音等新媒体渠道的推广营销工作；
2、根据产品用户分析，开发达人博主KOL资源，进行判断筛选，择优促成产品推广合作，不断积累优质达人资源；
3、定期进行推广效果监控和数据整合分析，如流量数据、营销数据和产品数据等，及时优化媒介效率，以达到投放效果；
4、新媒体流量渠道的广告投放、优化工作，对投放数据进行分析并提供优化策略，使广告投放效果最大化
5、研究竞争对手在小红书、抖音上的推广动态，挖掘和分析目标受众在平台上的使用习惯、喜好及体验感受，形成反馈报告，总结经验，不断优化自身的推广策略，形成有效方法论。
任职要求：
1、大专以上学历，市场营销、广告学、新闻学等专业优先
2、会玩、喜欢玩小红书、抖音等新媒体社交平台，具备一定的营销思维、网感好；
3、具备良好的审美，喜欢研究美妆护肤，热爱生活，同时善于沟通和协调，执行力强；
4、有达人博主资源或者成功推广案例大大加分。"
新媒体运营实习生,赛睿人力,80,100,广州,本科,3,2021-05-2,"【岗位职责】


1.收集、整理行业相关新闻和资料，收集并记录公司日常及商务活动的材料；


2.线上线下参与品牌内容和宣传材料的策划、文案、设计、对接和制作； 


3.协助运营企业新媒体矩阵，包括微信公众号、微博、脉脉、领英等，内容形式包括但不限于：图文、语音、短视频等，提高内容关注度和粉丝活跃度；


4.完成上级交予的其他工作。


 


	【任职要求】


1.掌握微信公众号、微博、网站等相关运营操作，有社交媒体运营推广活动经验者优先；


2.审美优秀，有一定文字功底和沟通能力。熟悉使用PS、AI等设计软件，有设计作品者优先，有摄影、视频剪辑技术加成者加分；


3.注重细节，工作认真主动，思维创新，敢于接受挑战，有很好的执行力和很强的学习能力；


4.对Marketing工作感兴趣并愿意学习，想学习更多，想收获更多。


 




		【你将获得】


1. 实习补贴，满三月提供实习证明，优秀者可申请转正；


2. Nice的领导和同事，快速的学习、成长的环境和不断突破自我的挑战；


3. 不会让你独自成长，有经验的同事和leader会帮助你更快成长。"
新媒体运营实习生,商道纵横,100,120,北京,本科,3,2021/12/31,"岗位职责
		



1.参与公司各大新媒体账号视频内容的策划及制作，对拍摄的视频进行剪辑、配乐、调色、字幕、合成等，并对文字、图像和音乐的结合，有总体把控能力，有不拘一格的创造力；
2.负责将素材进行加工，根据反馈意见进行修改，并配合协助其他部门进行视频剪辑相关工作；
3.负责视频制作所需的音频、影像等素材进行拍摄、收集与整理；
4.追踪公司新媒体运营数据，撰写数据分析报告；
5.协助组织公司市场活动；
6.参与其他相关传播工作。








			岗位要求
		



1. 在校高年级本科生或研究生，传媒专业优先；
2. 脑洞大、点子多、有想法，熟悉短视频风格；
3.能够独立完成视频选题和剪辑，熟练掌握主流剪辑软件；
4.了解企业社会责任领域，文字能力出色，具备优秀的信息搜索能力和分析能力；
5.熟练掌握Office软件，掌握网页及图片编辑软件基本功能；
6. 实习期为至少6个月，坐标北京朝阳CBD，保证至少每周三天工作时间，部分时间可在家/校办公；
7. 提交中英文简历，还有新媒体相关的作品集。"
新媒体运营助理,佳智库,120,150,广州,本科,5,2021/4/30,"岗位职责
1.负责公司课程平台日常运营，页面排版，内容校对等工作；
2.负责相关内容编辑、视频发布，统计相关数据等；
3.领导安排的其他工作。

任职资格：
1.本科大四优秀应届毕业生，专业不限；
2.工作细心主动，并且有基本的文案写作能力；
3.熟悉PS等专业设计软件。

公司福利：
1、工作时间：周一至周五 上午9:30-12:30 下午13:30-18:30
2、法定节假日+5天带薪年假福利+每年6天带薪病假+年终奖（1-3个月）+年度调薪；
3、餐补话补等各种福利补贴；
4、试用期购买七险一金+商业险；
5、享受定期免费体检，下午茶、生日、节假日礼金/礼品等员工福利；
6、公司一年组织两次国内外旅游（韩国首尔、越南岘港、泰国清迈、贵阳、重庆、台湾都去了哦~下一个旅游目的地希望有你的加入~）、团队活动、聚餐、健身等；
7、舒适良好的室内工作环境，交通便利；
8、广阔的职业发展平台，良好的培训和晋升空间。"
岗位名称,公司名称,工资,,工作地点,学位要求,工作日,,岗位描述
记者/编辑实习生,艾问传媒,100,100,北京,本科,5,2021/5/4,"人物编辑（实习生）


 岗位职责： 
1、负责艾问人物稿件撰写；
2、协助主编完成人物采访内容案头研究工作；
3、整理并撰写主持人现场活动稿件；
4、协助主编完成人物采访提纲、拍摄脚本内容策划等工作；
5、完成公司安排的其它临时性工作。 
任职要求： 
1、统招本科及以上学历,财经新闻、电视广播编导、新闻等相关专业， 财经背景优先；
2、熟练操作基本办公软件Word, Excel, PPT； 
3、的沟通能力，团队合作能力；
4、谦虚上进，喜欢人物对话类相关工作，能吃苦耐劳。

薪资：每天100元。
福利：下午茶、零食、节假日福利；"
媒介运营实习生,新意互动,120,150,北京,本科,5,2021-05-0,"岗位职责：


	1.    
媒介相关数据及资料收集、整理、分析


	2.   
日常项目媒介执行


	3.   
媒介智库运营管理


	职位要求：


	1.    
思维活跃，有强烈的学习意愿，具有良好的沟通表达能力，执行力，能高效完成工作；


	2.      熟练使用办公软件；"
Communications Intern_GE Aviation,GE中国,120,150,上海,本科,4,2021/5/31,"Essential Responsibilities:

	Translating news releases, media inquiry, presentation materials, PPT, etc.


	Market research on key competitors and clients (products, marketing campaign, publications, future plans …)


	Working with vendors for newsletter design


	Data statistics and analysis for communications results


	Support internal event management


	Communications document filing


	Other work assigned by manager

Qualifications/Requirements:

	Extraordinary English, especially written skill


	English major preferred. Aviation major with excellent English skill is strongly preferred


	Good knowledge of office software, such as PowerPoint


	Experience with digital tools as us photoshop, video editing, social media is a strong plus


	Available at least three days a week

Desired Characteristics:

	Responsible


	Willing to learn new things


	Hands-on


	Humble: respectful, receptive, agile, eager to learn


	Transparent: shares critical information, speaks with candor, contributes constructively


	Focused: quick learner, strategically prioritizes work, committed


	Leadership ability: strong communicator, decision-maker, collaborative


	Problem solver: analytical-minded, challenges existing processes, critical thinker"
短视频摄像实习生,畅效科技,150,180,上海,不限,5,2021/4/23,"工作职责：
1、协助摄影师棚内布光以及准备各种摄影器材；
2、了解并熟练使用各种进口灯光设备和摄影器材，为拍摄前做好准备；
3、摄影器材以及摄影棚的常规护理和保养，道具采购整理及拍摄资料整理；
4、影棚的日常内勤工作；

任职要求：
1、有很强的时间观念，态度诚恳，做事细心；
2、较强的团队合作意识和责任感，良好的沟通和表达能力；"
摄影实习生（北京）,萌奕文化,120,150,北京,不限,4,2021/5/2,"工作职责：


	1、协助拍摄店铺的婚纱以及博主试纱照片，为微信、微博等提供素材；


	2、完成后期图片的美化处理工作；


	3、参与团队设计讨论，协助品牌形象的构建及线上线下推广的创意设计；





	岗位要求：


	1、专业不限，一周至少实习4天及以上；


	2、熟练操作Photoshop，会调色修图；


	3、热爱摄影时尚，时尚穿搭，有自己的审美； 


	4、有长期使用社交媒体习惯，喜欢发布自媒体者优先。"
